Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
.,org.java_websocket.client,AttachmentTest,testSetter,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,org.java_websocket.client,HeadersTest,testHttpHeaders,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.client,HeadersTest,test_Add_RemoveHeaders,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,org.java_websocket.client,SchemaCheckTest,testSchemaCheck,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.drafts,Draft_6455Test,Draft_6455Test,Constructor initialization,The tool detected the smell in this class because the class uses its constructor to initialize fields rather than test setup method.
.,org.java_websocket.drafts,Draft_6455Test,testConstructor,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
.,org.java_websocket.drafts,Draft_6455Test,testGetKnownExtensions,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,org.java_websocket.drafts,Draft_6455Test,testGetProtocol,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,org.java_websocket.drafts,Draft_6455Test,testGetKnownProtocols,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,org.java_websocket.drafts,Draft_6455Test,testCopyInstance,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
.,org.java_websocket.drafts,Draft_6455Test,testReset,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,org.java_websocket.drafts,Draft_6455Test,testToString,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
.,org.java_websocket.drafts,Draft_6455Test,testEquals,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 15
.,org.java_websocket.drafts,Draft_6455Test,testHashCode,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 15
.,org.java_websocket.drafts,Draft_6455Test,acceptHandshakeAsServer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 16
.,org.java_websocket.drafts,Draft_6455Test,acceptHandshakeAsClient,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 10
.,org.java_websocket.drafts,Draft_6455Test,postProcessHandshakeRequestAsClient,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 12
.,org.java_websocket.drafts,Draft_6455Test,postProcessHandshakeResponseAsServer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 28
.,org.java_websocket.drafts,Draft_6455Test,createFramesBinary,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,org.java_websocket.drafts,Draft_6455Test,createFramesText,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,org.java_websocket.exceptions,IncompleteHandshakeExceptionTest,testConstructor,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.exceptions,InvalidDataExceptionTest,testConstructor,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
.,org.java_websocket.exceptions,InvalidEncodingExceptionTest,testConstructor,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.exceptions,InvalidFrameExceptionTest,testConstructor,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
.,org.java_websocket.exceptions,InvalidHandshakeExceptionTest,testConstructor,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
.,org.java_websocket.exceptions,LimitExceededExceptionTest,testConstructor,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,org.java_websocket.exceptions,NotSendableExceptionTest,testConstructor,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,org.java_websocket.extensions,CompressionExtensionTest,testIsFrameValid,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
.,org.java_websocket.extensions,CompressionExtensionTest,testIsFrameValid,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
.,org.java_websocket.extensions,DefaultExtensionTest,testAcceptProvidedExtensionAsServer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
.,org.java_websocket.extensions,DefaultExtensionTest,testAcceptProvidedExtensionAsClient,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
.,org.java_websocket.extensions,DefaultExtensionTest,testIsFrameValid,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,org.java_websocket.extensions,DefaultExtensionTest,testIsFrameValid,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
.,org.java_websocket.extensions,DefaultExtensionTest,testEquals,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,org.java_websocket.extensions,PerMessageDeflateExtensionTest,testDecodeFrame,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.extensions,PerMessageDeflateExtensionTest,testDecodeFrameIfRSVIsNotSet,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.extensions,PerMessageDeflateExtensionTest,testEncodeFrameBelowThreshold,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.extensions,PerMessageDeflateExtensionTest,testAcceptProvidedExtensionAsServer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,org.java_websocket.extensions,PerMessageDeflateExtensionTest,testAcceptProvidedExtensionAsClient,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,org.java_websocket.extensions,PerMessageDeflateExtensionTest,testIsFrameValid,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
.,org.java_websocket.extensions,PerMessageDeflateExtensionTest,testIsFrameValid,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
.,org.java_websocket.framing,BinaryFrameTest,testConstructor,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
.,org.java_websocket.framing,BinaryFrameTest,testConstructor,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
.,org.java_websocket.framing,BinaryFrameTest,testIsValid,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
.,org.java_websocket.framing,CloseFrameTest,testConstructor,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
.,org.java_websocket.framing,CloseFrameTest,testConstructor,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
.,org.java_websocket.framing,CloseFrameTest,testIsValid,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 26
.,org.java_websocket.framing,CloseFrameTest,testIsValid,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
.,org.java_websocket.framing,ContinuousFrameTest,testConstructor,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
.,org.java_websocket.framing,ContinuousFrameTest,testConstructor,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
.,org.java_websocket.framing,ContinuousFrameTest,testIsValid,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
.,org.java_websocket.framing,FramedataImpl1Test,testDefaultValues,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
.,org.java_websocket.framing,FramedataImpl1Test,testGet,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
.,org.java_websocket.framing,FramedataImpl1Test,testSetters,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
.,org.java_websocket.framing,FramedataImpl1Test,testAppend,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.framing,PingFrameTest,testConstructor,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
.,org.java_websocket.framing,PingFrameTest,testConstructor,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
.,org.java_websocket.framing,PingFrameTest,testIsValid,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
.,org.java_websocket.framing,PingFrameTest,testIsValid,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
.,org.java_websocket.framing,PongFrameTest,testConstructor,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
.,org.java_websocket.framing,PongFrameTest,testConstructor,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
.,org.java_websocket.framing,PongFrameTest,testIsValid,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
.,org.java_websocket.framing,PongFrameTest,testIsValid,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
.,org.java_websocket.framing,TextFrameTest,testConstructor,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
.,org.java_websocket.framing,TextFrameTest,testConstructor,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
.,org.java_websocket.framing,TextFrameTest,testIsValid,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.framing,TextFrameTest,testIsValid,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
.,org.java_websocket.protocols,ProtocolTest,testAcceptProvidedProtocol,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 11
.,org.java_websocket.protocols,ProtocolTest,testGetProvidedProtocol,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.protocols,ProtocolTest,testCopyInstance,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.protocols,ProtocolTest,testToString,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.protocols,ProtocolTest,testEquals,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
.,org.java_websocket.protocols,ProtocolTest,testHashCode,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,org.java_websocket.server,CustomSSLWebSocketServerFactoryTest,testConstructor,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
.,org.java_websocket.server,CustomSSLWebSocketServerFactoryTest,testConstructor,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
.,org.java_websocket.server,CustomSSLWebSocketServerFactoryTest,testCreateWebSocket,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.server,CustomSSLWebSocketServerFactoryTest,testWrapChannel,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,org.java_websocket.server,CustomSSLWebSocketServerFactoryTest,testClose,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,org.java_websocket.server,DefaultSSLWebSocketServerFactoryTest,testConstructor,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
.,org.java_websocket.server,DefaultSSLWebSocketServerFactoryTest,testConstructor,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
.,org.java_websocket.server,DefaultSSLWebSocketServerFactoryTest,testCreateWebSocket,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.server,DefaultSSLWebSocketServerFactoryTest,testWrapChannel,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,org.java_websocket.server,DefaultSSLWebSocketServerFactoryTest,testClose,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,org.java_websocket.server,DefaultWebSocketServerFactoryTest,testCreateWebSocket,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.server,DefaultWebSocketServerFactoryTest,testClose,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,org.java_websocket.server,SSLParametersWebSocketServerFactoryTest,testConstructor,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,org.java_websocket.server,SSLParametersWebSocketServerFactoryTest,testConstructor,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
.,org.java_websocket.server,SSLParametersWebSocketServerFactoryTest,testCreateWebSocket,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.server,SSLParametersWebSocketServerFactoryTest,testWrapChannel,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,org.java_websocket.server,SSLParametersWebSocketServerFactoryTest,testClose,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,org.java_websocket.server,WebSocketServerTest,testConstructor,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
.,org.java_websocket.server,WebSocketServerTest,testConstructor,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
.,org.java_websocket.server,WebSocketServerTest,testGetDrafts,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.server,WebSocketServerTest,testGetPort,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,org.java_websocket.server,WebSocketServerTest,testMaxPendingConnections,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.server,WebSocketServerTest,testBroadcast,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
.,org.java_websocket.server,WebSocketServerTest,testBroadcast,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
.,org.java_websocket.util,Base64Test,testEncodeBytes,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,org.java_websocket.util,Base64Test,testEncodeBytes2,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,org.java_websocket.util,Base64Test,testEncodeBytes3,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,org.java_websocket.util,Base64Test,testEncodeBytes4,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,org.java_websocket.util,Base64Test,testEncodeBytes5,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,org.java_websocket.util,Base64Test,testEncodeBytesToBytes1,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
.,org.java_websocket.util,Base64Test,testEncodeBytesToBytes2,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,org.java_websocket.util,ByteBufferUtilsTest,testTransferByteBufferSmallToEmpty,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.util,ByteBufferUtilsTest,testTransferByteBufferSmallToBig,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 10
.,org.java_websocket.util,ByteBufferUtilsTest,testTransferByteBufferBigToSmall,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
.,org.java_websocket.util,CharsetfunctionsTest,testIsValidUTF8off,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,org.java_websocket.util,CharsetfunctionsTest,testIsValidUTF8,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.autobahn,AutobahnServerResultsTest,test1_1_1,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.autobahn,AutobahnServerResultsTest,test1_1_2,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.autobahn,AutobahnServerResultsTest,test1_1_3,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.autobahn,AutobahnServerResultsTest,test1_1_4,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.autobahn,AutobahnServerResultsTest,test1_1_5,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.autobahn,AutobahnServerResultsTest,test1_1_6,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.autobahn,AutobahnServerResultsTest,test1_1_7,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.autobahn,AutobahnServerResultsTest,test1_1_8,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.autobahn,AutobahnServerResultsTest,test1_2_1,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.autobahn,AutobahnServerResultsTest,test1_2_2,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.autobahn,AutobahnServerResultsTest,test1_2_3,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.autobahn,AutobahnServerResultsTest,test1_2_4,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.autobahn,AutobahnServerResultsTest,test1_2_5,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.autobahn,AutobahnServerResultsTest,test1_2_6,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.autobahn,AutobahnServerResultsTest,test1_2_7,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.autobahn,AutobahnServerResultsTest,test1_2_8,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.autobahn,AutobahnServerResultsTest,test2_1,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.autobahn,AutobahnServerResultsTest,test2_2,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.autobahn,AutobahnServerResultsTest,test2_3,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.autobahn,AutobahnServerResultsTest,test2_4,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.autobahn,AutobahnServerResultsTest,test2_5,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.autobahn,AutobahnServerResultsTest,test2_6,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.autobahn,AutobahnServerResultsTest,test2_7,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.autobahn,AutobahnServerResultsTest,test2_8,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.autobahn,AutobahnServerResultsTest,test2_9,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.autobahn,AutobahnServerResultsTest,test2_10,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.autobahn,AutobahnServerResultsTest,test2_11,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.autobahn,AutobahnServerResultsTest,test3_1,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.autobahn,AutobahnServerResultsTest,test3_2,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.autobahn,AutobahnServerResultsTest,test3_3,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.autobahn,AutobahnServerResultsTest,test3_4,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.autobahn,AutobahnServerResultsTest,test3_5,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.autobahn,AutobahnServerResultsTest,test3_6,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,org.java_websocket.autobahn,AutobahnServerResultsTest,test3_7,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
